 ID,Link,Text,Domain,SnapShot,Tags
"","http://www.ust.hk/cgi-bin/cgiwrap/~alumni/magazine.pl","Alumni Newsletter","www.ust.hk","www.ust.hk^cgi-bin^cgiwrap^~alumni^magazine.pl.jpg"
"","http://www.bm.ust.hk/newsletter/","Business School Newsletter","www.bm.ust.hk","www.bm.ust.hk^newsletter^.jpg"
"","http://www.ust.hk/itsc/channel/","ITSC Channel","www.ust.hk","www.ust.hk^itsc^channel^.jpg"
"","http://www.seng.ust.hk/web/eng/publication.php","Engineering School Newsletter","www.seng.ust.hk","www.seng.ust.hk^web^eng^publication.php.jpg"
"","http://newsletter.ust.hk/","Genesis HKUST Newsletter","newsletter.ust.hk","newsletter.ust.hk^.jpg"
"","http://www.ust.hk/healthmatters/","Health and Hygiene Matters","www.ust.hk","www.ust.hk^healthmatters^.jpg"
"","http://library.ust.hk/info/notes/notes.html","Library Newsletter","library.ust.hk","library.ust.hk^info^notes^notes.html.jpg"
"","http://www.ust.hk/provost/pg/newsletter/newsletter.html","PG Update","www.ust.hk","www.ust.hk^provost^pg^newsletter^newsletter.html.jpg"
"","http://www.ab.ust.hk/hseo/sftywise.htm","HSEO Safety Wise","www.ab.ust.hk","www.ab.ust.hk^hseo^sftywise.htm.jpg".target.13.jpg"
"","http://arr.ust.hk/","ARRO Homepage","arr.ust.hk","arr.ust.hk^.jpg"
"","http://lc.ust.hk/","LC Home","lc.ust.hk","lc.ust.hk^.jpg"
"","http://lc.ust.hk/~material/pinyin/","Hanyu PinYin","lc.ust.hk","lc.ust.hk^~material^pinyin^.jpg"
"","http://mws.ust.hk/mw/account/login.php","My Word","mws.ust.hk","mws.ust.hk^mw^account^login.php.jpg"
"","http://lc.ust.hk/~sac/","Self Access Center","lc.ust.hk","lc.ust.hk^~sac^.jpg"
"","http://vela.ust.hk/","Virtural English Learning Advisor (VELA)","vela.ust.hk","vela.ust.hk^.jpg"
"","http://www.ust.hk/provost/","Provost Homepage","www.ust.hk","www.ust.hk^provost^.jpg"
"","http://publish.ust.hk/prog_crs_ar/index.html","Academic Programs","publish.ust.hk","publish.ust.hk^prog_crs_ar^index.html.jpg"
